preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,seed,T,utility_gap_M_minus_m,purchase_gap_M_minus_m,revenue_gap_M_minus_m,recommended_value_gap_M_minus_m,best_recommended_value_gap_M_minus_m,overall_minority_item_exposure,minority_population_share,random_minority_item_share,exposure_representation_gap,exposure_random_gap,total_revenue,avg_revenue_per_user,overall_purchase_rate,minority_item_purchase_share,avg_shown_price,avg_oracle_price_all_items,avg_final_mle_price_all_items,avg_abs_mle_oracle_price_error_all_items,avg_abs_mle_oracle_price_error_minority_items,avg_abs_mle_oracle_price_error_majority_items,avg_oracle_r_star_minority_items,avg_oracle_r_star_majority_items,avg_mle_exposures_minority_items,avg_mle_exposures_majority_items,n_minority_preferred_items,mle_price_grid_coverage,mle_mean_exposures_observed_cell,mle_median_exposures_observed_cell,mle_unobserved_item_price_cells
zipfian,fixed,50,0.3,0.95,5,0.9,0.25,0,300,0.29479138555165474,0.4979004962463418,0.37342537218475635,-0.0005707989029170024,0.3566000196642475,0.184,0.09999999999999998,0.19999999999999998,-0.08400000000000002,0.015999999999999986,147.75,0.4925,0.6566666666666666,0.02,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.3,0.99,1,0.9,0.1,0,300,0.4046584668823859,0.6581818181818182,0.49363636363636365,0.5231607327342052,0.5231607327342052,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,135.75,0.4525,0.6033333333333334,0.0,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.3,0.99,1,0.9,0.25,0,300,0.4046584668823859,0.6581818181818182,0.49363636363636365,0.5231607327342052,0.5231607327342052,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,135.75,0.4525,0.6033333333333334,0.0,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.3,0.99,3,0.9,0.1,0,300,0.3432038479787088,0.47158218125960066,0.3536866359447004,0.07411531545117961,0.41515682004964916,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,152.25,0.5075,0.6766666666666666,0.016666666666666666,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.3,0.99,3,0.9,0.25,0,300,0.3162821755998003,0.4736103312745648,0.3552077484559237,0.08188159745783391,0.3803370610431107,0.16555555555555554,0.09999999999999998,0.19999999999999998,-0.06555555555555556,0.034444444444444444,149.25,0.4975,0.6633333333333333,0.02,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.3,0.99,5,0.9,0.1,0,300,0.24450123721840838,0.43703703703703706,0.3277777777777778,-0.02352850085958036,0.29348894943076975,0.188,0.09999999999999998,0.19999999999999998,-0.08800000000000002,0.011999999999999983,148.5,0.495,0.66,0.02666666666666667,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.3,0.99,5,0.9,0.25,0,300,0.30124768675449853,0.35996946176358313,0.26997709632268735,-0.00696725118955982,0.34562450962333136,0.18933333333333333,0.09999999999999998,0.19999999999999998,-0.08933333333333335,0.010666666666666658,150.75,0.5025,0.67,0.03333333333333333,0.75,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.95,1,0.9,0.1,0,300,0.21582555237406773,0.21454545454545454,0.1609090909090909,0.15558698552404893,0.15558698552404893,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,143.25,0.4775,0.6366666666666667,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.95,1,0.9,0.25,0,300,0.1783602268255097,0.13090909090909086,0.0981818181818182,0.09076591494615138,0.09076591494615138,0.11333333333333333,0.09999999999999998,0.19999999999999998,-0.01333333333333335,0.08666666666666666,117.0,0.39,0.52,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.95,3,0.9,0.1,0,300,0.24724524522565544,0.4679979518689196,0.35099846390168965,0.040121046921487435,0.2600870312258319,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,151.5,0.505,0.6733333333333333,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.95,3,0.9,0.25,0,300,0.24724524522565544,0.4679979518689196,0.35099846390168965,0.040121046921487435,0.2600870312258319,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,151.5,0.505,0.6733333333333333,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.95,5,0.9,0.1,0,300,0.2025144422517497,0.18518518518518523,0.13888888888888884,-0.009588370976696625,0.19534923881573796,0.18866666666666665,0.09999999999999998,0.19999999999999998,-0.08866666666666667,0.011333333333333334,150.0,0.5,0.6666666666666666,0.01,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.95,5,0.9,0.25,0,300,0.2004660672785023,0.15546218487394958,0.11659663865546221,-0.011079751316201314,0.18542307058584384,0.194,0.09999999999999998,0.19999999999999998,-0.09400000000000003,0.005999999999999978,152.25,0.5075,0.6766666666666666,0.01,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.99,1,0.9,0.1,0,300,0.21582555237406773,0.21454545454545454,0.1609090909090909,0.15558698552404893,0.15558698552404893,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,143.25,0.4775,0.6366666666666667,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.99,1,0.9,0.25,0,300,0.21582555237406773,0.21454545454545454,0.1609090909090909,0.15558698552404893,0.15558698552404893,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,143.25,0.4775,0.6366666666666667,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.99,3,0.9,0.1,0,300,0.24724524522565544,0.4679979518689196,0.35099846390168965,0.040121046921487435,0.2600870312258319,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,151.5,0.505,0.6733333333333333,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.99,3,0.9,0.25,0,300,0.24724524522565544,0.4679979518689196,0.35099846390168965,0.040121046921487435,0.2600870312258319,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,151.5,0.505,0.6733333333333333,0.0,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.99,5,0.9,0.1,0,300,0.2025144422517497,0.18518518518518523,0.13888888888888884,-0.009588370976696625,0.19534923881573796,0.18866666666666665,0.09999999999999998,0.19999999999999998,-0.08866666666666667,0.011333333333333334,150.0,0.5,0.6666666666666666,0.01,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,fixed,50,0.7,0.99,5,0.9,0.25,0,300,0.2025144422517497,0.18518518518518523,0.13888888888888884,-0.009790356569438052,0.19534923881573796,0.188,0.09999999999999998,0.19999999999999998,-0.08800000000000002,0.011999999999999983,150.0,0.5,0.6666666666666666,0.01,0.75,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.95,1,0.9,0.1,0,300,0.03267557788016071,0.24727272727272726,0.0712,0.06390374651728947,0.06390374651728947,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,47.74399999999999,0.15914666666666663,0.5466666666666666,0.006666666666666667,0.32711999999999997,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.95,1,0.9,0.25,0,300,0.07375609252966144,0.4763636363636363,0.30274181818181817,0.22881430842627254,0.22881430842627254,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,94.71400000000001,0.3157133333333334,0.5966666666666667,0.006666666666666667,0.5190900000000002,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.95,3,0.9,0.1,0,300,-0.020172116993762174,-0.05811341942728809,0.38933323975294776,0.09540701670380825,0.41213158645899617,0.16555555555555554,0.09999999999999998,0.19999999999999998,-0.06555555555555556,0.034444444444444444,234.385,0.7812833333333333,0.87,0.03666666666666667,0.5414244444444446,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.95,3,0.9,0.25,0,300,-0.017956815084703592,-0.0892857142857143,0.38225472689075624,0.10386408531406083,0.4435145337676757,0.17333333333333334,0.09999999999999998,0.19999999999999998,-0.07333333333333336,0.026666666666666644,236.284,0.7876133333333333,0.8833333333333333,0.03333333333333333,0.54143,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.95,5,0.9,0.1,0,300,-0.1257414124016154,-0.04332129963898912,0.20635363365248782,-0.08642699056546671,0.07936788585924814,0.176,0.09999999999999998,0.19999999999999998,-0.07600000000000001,0.023999999999999994,234.473,0.7815766666666667,0.96,0.043333333333333335,0.4432573333333334,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.95,5,0.9,0.25,0,300,-0.11337938043562407,-0.04395604395604391,0.2096043956043956,-0.07529247963394697,0.11545964786716545,0.17866666666666664,0.09999999999999998,0.19999999999999998,-0.07866666666666666,0.021333333333333343,234.222,0.78074,0.96,0.05,0.44782466666666665,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.99,1,0.9,0.1,0,300,0.1629323977055559,0.6218181818181818,0.7771709090909091,0.7940452042069215,0.7940452042069215,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,223.826,0.7460866666666667,0.69,0.006666666666666667,0.9553666666666667,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.99,1,0.9,0.25,0,300,0.1629323977055559,0.6218181818181818,0.7771709090909091,0.7940452042069215,0.7940452042069215,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,223.826,0.7460866666666667,0.69,0.006666666666666667,0.9553666666666667,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.99,3,0.9,0.1,0,300,0.004677070613241602,0.017409114183307817,0.4096497695852535,0.09646691829432824,0.42299173793449363,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,237.578,0.7919266666666667,0.8733333333333333,0.023333333333333334,0.5611788888888889,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.99,3,0.9,0.25,0,300,0.004677070613241602,0.017409114183307817,0.4096497695852535,0.09559821358958492,0.42299173793449363,0.16777777777777778,0.09999999999999998,0.19999999999999998,-0.0677777777777778,0.03222222222222221,237.578,0.7919266666666667,0.8733333333333333,0.023333333333333334,0.5639711111111112,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.99,5,0.9,0.1,0,300,-0.03852146977291837,-0.0444444444444444,0.26657037037037035,-0.03859277583941423,0.1984623163776159,0.18866666666666665,0.09999999999999998,0.19999999999999998,-0.08866666666666667,0.011333333333333334,229.00399999999996,0.7633466666666665,0.96,0.05,0.452522,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.0,0.99,5,0.9,0.25,0,300,-0.06464972478487721,-0.043636363636363584,0.3542,-0.026590100017432006,0.3014382523984651,0.18133333333333332,0.09999999999999998,0.19999999999999998,-0.08133333333333334,0.018666666666666665,230.83300000000003,0.7694433333333334,0.96,0.03666666666666667,0.44568800000000003,0.3353999999999999,,,,,0.08371949256448197,0.1005905383770542,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.95,1,0.9,0.1,0,300,0.0316738933030647,0.12,0.06966181818181819,0.04708597617847321,0.04708597617847321,0.08333333333333333,0.09999999999999998,0.19999999999999998,0.01666666666666665,0.11666666666666665,58.781,0.19593666666666668,0.59,0.006666666666666667,0.3349866666666666,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.95,1,0.9,0.25,0,300,0.1205992591908527,0.4363636363636364,0.5801054545454547,0.42068900208404136,0.42068900208404136,0.09666666666666666,0.09999999999999998,0.19999999999999998,0.003333333333333313,0.10333333333333332,169.177,0.5639233333333333,0.64,0.006666666666666667,0.7375733333333334,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.95,3,0.9,0.1,0,300,0.01017349789415159,-0.08363636363636362,0.3712945454545455,0.06516989488035224,0.3914675289344566,0.17222222222222222,0.09999999999999998,0.19999999999999998,-0.07222222222222224,0.027777777777777762,205.51000000000005,0.6850333333333335,0.8833333333333333,0.043333333333333335,0.4527733333333333,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.95,3,0.9,0.25,0,300,-0.011062501844570721,0.02245929253228529,0.43711791128579447,0.07234566848836804,0.430895469570197,0.15555555555555556,0.09999999999999998,0.19999999999999998,-0.05555555555555558,0.044444444444444425,194.828,0.6494266666666667,0.8666666666666667,0.04,0.4478111111111112,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.95,5,0.9,0.1,0,300,0.012351143120252567,0.0040700040700041296,0.5392995522995523,0.025431544472091894,0.4492775371861083,0.18733333333333332,0.09999999999999998,0.19999999999999998,-0.08733333333333335,0.01266666666666666,191.051,0.6368366666666666,0.9666666666666667,0.03666666666666667,0.3630546666666667,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.95,5,0.9,0.25,0,300,-0.019735355404847388,-0.0444444444444444,0.4059222222222223,-0.012246561414592738,0.34897303933824797,0.186,0.09999999999999998,0.19999999999999998,-0.08600000000000002,0.013999999999999985,190.00900000000001,0.6333633333333334,0.96,0.06333333333333334,0.3634326666666666,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.99,1,0.9,0.1,0,300,0.14509700741255835,0.5854545454545454,0.7068181818181818,0.5231607327342052,0.5231607327342052,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,201.31099999999998,0.6710366666666666,0.6966666666666667,0.006666666666666667,0.8407933333333334,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.99,1,0.9,0.25,0,300,0.14509700741255835,0.5854545454545454,0.7068181818181818,0.5231607327342052,0.5231607327342052,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,201.31099999999998,0.6710366666666666,0.6966666666666667,0.006666666666666667,0.8407933333333334,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.99,3,0.9,0.1,0,300,0.009780366170058008,-0.02304147465437789,0.41679416282642096,0.07411531545117961,0.41515682004964916,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,205.257,0.68419,0.8833333333333333,0.03666666666666667,0.46645111111111115,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.99,3,0.9,0.25,0,300,0.019414494600027615,-0.08363636363636362,0.35030909090909096,0.07902394660945639,0.3905970736521437,0.1711111111111111,0.09999999999999998,0.19999999999999998,-0.07111111111111112,0.02888888888888888,205.00700000000003,0.6833566666666667,0.8833333333333333,0.043333333333333335,0.45416666666666666,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.99,5,0.9,0.1,0,300,-0.016110971872717206,-0.0444444444444444,0.34867777777777786,-0.024296627650452762,0.29216963885106106,0.18866666666666665,0.09999999999999998,0.19999999999999998,-0.08866666666666667,0.011333333333333334,192.77300000000002,0.6425766666666668,0.96,0.06666666666666667,0.36179999999999995,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.3,0.99,5,0.9,0.25,0,300,-0.02302949857176456,-0.03597122302158273,0.3894986919555265,-0.034988214620041536,0.2901951442252473,0.18533333333333335,0.09999999999999998,0.19999999999999998,-0.08533333333333337,0.014666666666666633,202.16700000000003,0.6738900000000001,0.9666666666666667,0.043333333333333335,0.35860666666666663,0.25623999999999997,,,,,0.06283405220701195,0.09049623481161133,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.95,1,0.9,0.1,0,300,0.008901696610764329,0.043636363636363695,0.020647272727272736,0.013436261165977653,0.013436261165977653,0.08333333333333333,0.09999999999999998,0.19999999999999998,0.01666666666666665,0.11666666666666665,35.449999999999996,0.11816666666666666,0.52,0.01,0.2162233333333333,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.95,1,0.9,0.25,0,300,0.1169393676872358,0.48727272727272725,0.4512872727272727,0.10977840197201627,0.10977840197201627,0.10333333333333333,0.09999999999999998,0.19999999999999998,-0.003333333333333355,0.09666666666666665,141.43200000000002,0.4714400000000001,0.6466666666666666,0.016666666666666666,0.5833633333333335,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.95,3,0.9,0.1,0,300,0.019747731920906453,-0.06707629288274441,0.4016523297491039,0.04069849342235127,0.2600870312258319,0.16333333333333333,0.09999999999999998,0.19999999999999998,-0.06333333333333335,0.03666666666666665,169.46100000000004,0.5648700000000001,0.89,0.05,0.3449344444444444,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.95,3,0.9,0.25,0,300,0.016913675009660845,-0.019457245263696854,0.4428904249871992,0.04019974741774407,0.2600870312258319,0.16444444444444445,0.09999999999999998,0.19999999999999998,-0.06444444444444447,0.035555555555555535,168.59500000000003,0.5619833333333334,0.8866666666666667,0.05333333333333334,0.3449344444444444,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.95,5,0.9,0.1,0,300,0.05137591242208853,0.0037037037037036535,0.3688037037037038,-0.01123311077634237,0.21316944190293508,0.18266666666666664,0.09999999999999998,0.19999999999999998,-0.08266666666666667,0.01733333333333334,158.10700000000003,0.5270233333333334,0.97,0.07333333333333333,0.26275000000000004,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.95,5,0.9,0.25,0,300,0.02870010323440425,-0.029520295202952074,0.39440195953683677,-0.0023505285779560348,0.2150189873977827,0.18733333333333335,0.09999999999999998,0.19999999999999998,-0.08733333333333337,0.012666666666666632,149.24500000000003,0.49748333333333344,0.9733333333333334,0.11666666666666667,0.26722666666666667,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.99,1,0.9,0.1,0,300,0.14159665195527327,0.5490909090909091,0.5203672727272728,0.15558698552404893,0.15558698552404893,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,169.46500000000003,0.5648833333333334,0.7033333333333334,0.01,0.6766766666666668,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.99,1,0.9,0.25,0,300,0.14159665195527327,0.5490909090909091,0.5203672727272728,0.15558698552404893,0.15558698552404893,0.08,0.09999999999999998,0.19999999999999998,0.019999999999999976,0.11999999999999998,169.46500000000003,0.5648833333333334,0.7033333333333334,0.01,0.6766766666666668,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.99,3,0.9,0.1,0,300,0.01275476434300532,-0.06707629288274441,0.39595340501792115,0.040121046921487435,0.2600870312258319,0.16555555555555557,0.09999999999999998,0.19999999999999998,-0.06555555555555559,0.034444444444444416,168.77100000000002,0.56257,0.89,0.05333333333333334,0.3445866666666666,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.99,3,0.9,0.25,0,300,0.038128937817268005,0.01852142520797362,0.46149223041908655,0.04708012633952591,0.2573002804512824,0.14,0.09999999999999998,0.19999999999999998,-0.040000000000000036,0.05999999999999997,171.22900000000004,0.5707633333333335,0.8866666666666667,0.05,0.3378822222222222,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.99,5,0.9,0.1,0,300,0.08017570874652993,0.04843304843304841,0.4321404151404151,0.02478918400151056,0.23562133161695298,0.18533333333333332,0.09999999999999998,0.19999999999999998,-0.08533333333333334,0.014666666666666661,157.04100000000005,0.5234700000000002,0.97,0.07333333333333333,0.26355,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,oracle,50,0.7,0.99,5,0.9,0.25,0,300,0.05544364661373363,-0.029520295202952074,0.3929681893370658,0.0074293816632941545,0.2209015121660617,0.18266666666666664,0.09999999999999998,0.19999999999999998,-0.08266666666666667,0.01733333333333334,147.55300000000003,0.4918433333333334,0.9733333333333334,0.10666666666666667,0.271372,0.17204,,,,,0.04197064639802613,0.07843577521514918,0.0,0.0,10.0,,,,
zipfian,mle,50,0.0,0.95,1,0.9,0.1,0,300,0.25544840063964935,0.4285714285714286,0.3374595588235294,0.46632699497888636,0.46632699497888636,0.09333333333333334,0.09999999999999998,0.19999999999999998,0.00666666666666664,0.10666666666666665,98.23899999999999,0.3274633333333333,0.46,0.013333333333333334,1.0013133333333333,0.3353999999999999,1.4773000000000003,1.2022199999999998,0.6028,1.352075,0.08371949256448197,0.1005905383770542,2.8,6.8,10.0,0.059,2.542372881355932,1.0,1882.0
zipfian,mle,50,0.0,0.95,1,0.9,0.25,0,300,0.25005573139300197,0.42121848739495804,0.3320110294117647,0.45714584505126227,0.45714584505126227,0.09666666666666666,0.09999999999999998,0.19999999999999998,0.003333333333333313,0.10333333333333332,96.75699999999999,0.32252333333333333,0.4533333333333333,0.013333333333333334,1.0075966666666667,0.3353999999999999,1.48106,1.20598,0.6028,1.356775,0.08371949256448197,0.1005905383770542,2.9,6.775,10.0,0.0595,2.5210084033613445,1.0,1881.0
zipfian,mle,50,0.0,0.95,3,0.9,0.1,0,300,0.251490529379152,0.45833333333333337,0.6121477272727271,0.12784558233851928,0.6229951469118362,0.16,0.09999999999999998,0.19999999999999998,-0.060000000000000026,0.03999999999999998,186.30700000000002,0.6210233333333334,0.6533333333333333,0.01,1.4399611111111112,0.3353999999999999,1.6908599999999998,1.3680599999999996,0.9736,1.466675,0.08371949256448197,0.1005905383770542,14.4,18.9,10.0,0.15,3.0,2.0,1700.0
zipfian,mle,50,0.0,0.95,3,0.9,0.25,0,300,0.251490529379152,0.45833333333333337,0.6121477272727271,0.12594027277394326,0.6217307382760202,0.15444444444444444,0.09999999999999998,0.19999999999999998,-0.05444444444444446,0.045555555555555544,186.30700000000002,0.6210233333333334,0.6533333333333333,0.01,1.4528733333333335,0.3353999999999999,1.8026999999999997,1.4798999999999998,0.9296,1.6174750000000002,0.08371949256448197,0.1005905383770542,13.9,19.025,10.0,0.15,3.0,2.0,1700.0
zipfian,mle,50,0.0,0.95,5,0.9,0.1,0,300,0.36356236600356695,0.48989898989898994,0.42164141414141415,-0.012409381269253672,0.35612031134991395,0.17866666666666664,0.09999999999999998,0.19999999999999998,-0.07866666666666666,0.021333333333333343,148.15500000000003,0.4938500000000001,0.6533333333333333,0.016666666666666666,1.5552046666666666,0.3353999999999999,1.7876200000000002,1.4798600000000002,0.9610000000000001,1.609575,0.08371949256448197,0.1005905383770542,26.8,30.8,10.0,0.241,3.112033195020747,2.0,1518.0
zipfian,mle,50,0.0,0.95,5,0.9,0.25,0,300,0.2481103748715742,0.47058823529411764,0.5518834033613444,0.01729788228304724,0.41887938494582344,0.17866666666666664,0.09999999999999998,0.19999999999999998,-0.07866666666666666,0.021333333333333343,178.77300000000002,0.59591,0.6766666666666666,0.013333333333333334,1.5664593333333334,0.3353999999999999,1.73862,1.4359000000000004,0.9986000000000003,1.545225,0.08371949256448197,0.1005905383770542,26.8,30.8,10.0,0.2415,3.1055900621118013,2.0,1517.0
zipfian,mle,50,0.0,0.99,1,0.9,0.1,0,300,-0.6572611652350898,-0.5210084033613446,-0.8976066176470587,-1.5613529288541232,-1.5613529288541232,0.66,0.09999999999999998,0.19999999999999998,-0.56,-0.4600000000000001,25.701,0.08567,0.06333333333333334,0.056666666666666664,1.5897299999999999,0.3353999999999999,1.46976,1.18212,0.5714,1.3348,0.08371949256448197,0.1005905383770542,19.8,2.55,10.0,0.0565,2.6548672566371683,1.0,1887.0
zipfian,mle,50,0.0,0.99,1,0.9,0.25,0,300,0.25005573139300197,0.42121848739495804,0.3320110294117647,0.4840344662097972,0.4840344662097972,0.11333333333333333,0.09999999999999998,0.19999999999999998,-0.01333333333333335,0.08666666666666666,96.75699999999999,0.32252333333333333,0.4533333333333333,0.013333333333333334,1.0109466666666667,0.3353999999999999,1.4521800000000002,1.22234,0.7159000000000001,1.3489499999999999,0.08371949256448197,0.1005905383770542,3.4,6.65,10.0,0.0595,2.5210084033613445,1.0,1881.0
zipfian,mle,50,0.0,0.99,3,0.9,0.1,0,300,0.185326416098324,0.32294040052764117,0.3851397050005996,0.053522989986759584,0.3939567208377335,0.15444444444444444,0.09999999999999998,0.19999999999999998,-0.05444444444444446,0.045555555555555544,198.78,0.6626,0.6766666666666666,0.023333333333333334,1.4560055555555553,0.3353999999999999,1.6795999999999998,1.3617999999999997,0.9548,1.4635500000000001,0.08371949256448197,0.1005905383770542,13.9,19.025,10.0,0.1505,2.990033222591362,2.0,1699.0
